68, -1.787412, 0.6545452, 6, 5, 0, 
148, 1.787412, 0.6545452, 6, 7, 0, 
543, -1.787412, 0.6545452, 3, 5, 0, 
546, 1.787412, 0.6545452, 3, 7, 0, 
638, -1.787412, 0.6545452, 4, 5, 4, 
642, 1.787412, 0.6545452, 4, 7, 4, 
649, -2.5, -1, 6, 3, 0, 
668, 1.787412, 0.6545452, 4, 7, 4, 
663, -1.787412, 0.6545452, 4, 5, 4, 
680, 2.5, -1, 6, 9, 0, 
713, -1.787412, 0.6545452, 4, 5, 4, 
720, 1.787412, 0.6545452, 4, 7, 4, 
729, -2.5, -1, 8, 3, 0, 
746, 1.787412, 0.6545452, 4, 7, 4, 
752, -1.787412, 0.6545452, 7, 5, 4, 
