20, -4, 1.5, 
23, 4, -2, 
27, 4, 1.5, 
30, -4, -2, 
39, 4, -2, 
42, -4, 1.5, 
47, -4, -2, 
51, 4, 1.5, 
55, 4, -2.4, 
55, -4, -2.4, 
57, 4, -1, 
57, -4, -1, 
60, 4, 0.2, 
60, -4, 0.2, 
64, 4, 1.4, 
64, -4, 1.4, 
81, -4, 1.4, 
84, 4, 0.6, 
86, -3.5, -0.2, 
87, 3.5, -1, 
88, -3, -1.8, 
89, 3, -2.6, 
94, 4, 1.5, 
97, -4, -2, 
100, -4, 1.5, 
103, 4, -2, 
112, -4, -2, 
115, 4, 1.5, 
118, 4, -2, 
121, -4, 1.5, 
125, 4, -2.4, 
125, -4, -2.4, 
127, 4, -1, 
127, -4, -1, 
130, 4, 0.2, 
130, -4, 0.2, 
134, 4, 1.4, 
134, -4, 1.4, 
151, 4, 1.4, 
154, -4, 0.6, 
156, 3.5, -0.2, 
157, -3.5, -1, 
158, 3, -1.8, 
159, -3, -2.6, 
160, 0, -2, 
162, -4, 1.4, 
162, 4, 1.4, 
167, 0, 1.4, 
169, -4, -2, 
169, 4, -2, 
175, -4, -2.6, 
177, 3.2, 0, 
180, -2.4, 1.4, 
187, 4, 1.4, 
187, -4, 1.4, 
189, 4, -2.3, 
189, -4, -2.3, 
195, -4, -2.4, 
195, 4, -2.4, 
197, 0, 1.6, 
200, -4, 1.6, 
200, 4, 1.6, 
203, -4, -0.3, 
203, 4, -0.3, 
207, -4, -2.6, 
207, 4, -2.6, 
214, -4, -1.5, 
217, 4, -1.5, 
220, -4, 0.7, 
223, 4, 0.7, 
229, 4, 1.2, 
229, -4, 1.2, 
232, 4, -2.6, 
232, -4, -2.6, 
235, 4, -0.6, 
235, -4, -0.6, 
239, 4, -0.6, 
239, -4, -0.6, 
243, 4, -0.6, 
243, -4, -0.6, 
247, 4, -0.6, 
247, -4, -0.6, 
251, 4, -0.6, 
251, -4, -0.6, 
255, 4, -0.6, 
255, -4, -0.6, 
259, 4, -0.6, 
259, -4, -0.6, 
263, 4, 1.2, 
263, -4, 1.2, 
267, 4, 1.2, 
267, -4, 1.2, 
271, 4, 1.2, 
271, -4, 1.2, 
275, 4, 1.2, 
275, -4, 1.2, 
280, 4, -0.6, 
280, -4, -0.6, 
284, 4, -2.6, 
284, -4, -2.6, 
287, -3, -2, 
289, 2, -0.4, 
292, -1, 1.2, 
296, -4.5, 0.15, 
300, -1.9, 0.15, 
304, 0, 0.15, 
308, 1.9, 0.15, 
312, 4.5, 0.15, 
316, 0, 0.15, 
320, 0, 0.15, 
324, 0, 0.15, 
330, 4.5, 0.15, 
334, 1.9, 0.15, 
338, 0, 0.15, 
342, -1.9, 0.15, 
346, -4.5, 0.15, 
350, 0, 0.15, 
354, 0, 0.15, 
358, 0, 0.15, 
363, 4.2, -2.5, 
363, -4.2, -2.5, 
367, 4.2, -1.9, 
367, -4.2, -1.9, 
370, 4.2, -1.3, 
370, -4.2, -1.3, 
375, 4.2, -0.7, 
375, -4.2, -0.7, 
380, 4.2, -0.1, 
380, -4.2, -0.1, 
384, 4.2, 0.5, 
384, -4.2, 0.5, 
388, 4.2, 1.1, 
388, -4.2, 1.1, 
392, 4.2, 1.7, 
392, -4.2, 1.7, 
428, -4, -2.5, 
432, 4, 1.7, 
436, -4, 1.7, 
440, 4, -2.5, 
444, -4, -0.4, 
444, 4, -0.4, 
448, -4, -0.4, 
448, 4, -0.4, 
452, -4, -0.4, 
452, 4, -0.4, 
456, -4, -0.4, 
460, 4, -0.4, 
464, 4, 2.5, 
468, -4, 1.7, 
472, 4, -1.7, 
476, -4, -2.5, 
480, 4, -0.4, 
480, -4, -0.4, 
484, 4, -0.4, 
484, -4, -0.4, 
488, 4, -0.4, 
488, -4, -0.4, 
492, 4, -0.4, 
492, -4, -0.4, 
496, 4, 1.7, 
500, -4, -2.5, 
504, 4, 1.7, 
508, -4, -2.5, 
512, 4, -2.5, 
512, -4, -2.5, 
516, 4, -2.5, 
516, -4, -2.5, 
520, 4, -2.5, 
520, -4, -2.5, 
524, 4, -2.5, 
524, -4, -2.5, 
532, 4, -2.5, 
536, 4, 1.7, 
540, 4, -0.4, 
563, 4, -2.4, 
563, -4, -2.4, 
567, 4, 1.7, 
567, -4, 1.7, 
573, 4, -0.4, 
573, -4, -0.4, 
577, 4, -2.4, 
577, -4, -2.4, 
581, 4, -0.4, 
581, -4, -0.4, 
585, 4, 1.7, 
585, -4, 1.7, 
589, 4, -0.4, 
589, -4, -0.4, 
593, 4, -2.4, 
593, -4, -2.4, 
601, -4, 1.7, 
601, 4, -2.5, 
605, -4, -2.5, 
605, 4, 1.7, 
609, 4, -1.2, 
609, -4, -1.2, 
613, 4, 0.4, 
613, -4, 0.4, 
617, 4, -0.4, 
617, -4, -0.4, 
621, 4, -0.4, 
621, -4, -0.4, 
625, 4, -2.5, 
628, 4, 1.7, 
631, -4, 1.7, 
634, -4, -2.5, 
690, -4, 0,
690, 4, 0,
694, -4, 0,
694, 4, 0,
758, -4, 0,
758, 4, 0,
762, -4, 0,
762, 4, 0,
766, -4, 0,
766, 4, 0,
